id,fleet_average_age,airline_id,callsign,hub_code,iata_code,icao_code,country_iso2,date_founded,iata_prefix_accounting,airline_name,country_name,fleet_size,status
13213,6.8,81,EVA,TPE,BR,EVA,TW,1989,695,EVA Air,Chinese Taipei,65,active
13214,9.3,82,SIBERIAN AIRLINES,DME,S7,SBI,RU,1992,421,S7 Airlines,Russia,65,active
13215,7.2,83,AEROMEXICO,MEX,AM,AMX,MX,1972,139,Aeromexico,Mexico,64,active
13216,6.4,84,INTERJET,TLC,4O,AIJ,MX,2005,837,Interjet,Mexico,63,active
13217,8.9,85,COSTERA,MTY,5D,SLI,MX,2007,642,Aerolitoral S.A. de C.V.,Mexico,63,active
13218,8.1,86,CAPITAL JET,HAK,JD,CBJ,CN,1995,898,Capital Airlines,China,63,active
13219,5.2,87,SUNTURK,SAW,PC,PGT,TR,1990,624,Pegasus Airlines,Turkey,63,active
13220,14.2,88,TJUMAVI,SGC,UT,UTA,RU,1991,298,UTair,Russia,63,active
13221,8.6,89,TOMJET,LTN,BY,TOM,GB,1962,754,TUI Airways Limited,United Kingdom,58,active,scheduled
13222,5.8,90,COMPASS,MSP,CP,CPZ,UM,2007,3,Compass Airlines LLC,United States Minor Outlying Islands,62,active
13223,14.9,91,AIR PORTUGAL,LIS,TP,TAP,PT,1945,47,TAP Portugal,Portugal,62,active
13224,6.3,92,REDWOOD,SFO,VX,VRD,US,2006,984,Virgin America,United States,62,active
13225,4.5,93,VOLARIS,TLC,Y4,VOI,MX,2006,36,Volaris,Mexico,62,active
13226,14.6,94,GERMAN WINGS,CGN,4U,GWI,DE,2002,51,Germanwings GmbH,Germany,61,active
13227,21.9,95,CHANNEX,LBA,LS,EXS,GB,2002,949,Jet2.com Limited,United Kingdom,61,active,scheduled
13228,4.7,96,PHILIPPINE,MNL,PR,PAL,PH,1941,79,Philippine Airlines,Philippines,59,active
13229,3.5,97,AIR SPRING,SHA,9C,CQH,CN,2005,89,Spring Airlines Limited Corporation,China,58,active
13230,7.7,98,FRONTIER FLIGHT,DEN,F9,FFT,UM,1994,422,Frontier Airlines, Inc.,United States Minor Outlying Islands,58,active
13231,5,99,CEBU AIR,MNL,5J,CEB,PH,1996,203,Cebu Pacific Air,Philippines,57,active
13232,3.7,100,NOR SHUTTLE,OSL,DY,NAX,NO,1993,328,Norwegian Air Shuttle A.S.,Norway,57,active
